1,2
2,0
2,1
4,1
5,1
5,1
6,2
6,0
7,0
7,1
8,0
8,0
9,1
9,1
10,2
10,0
11,2
11,0
14,1
14,1
14,0
16,1
18,1
18,2
18,2
19,0
19,0
20,0
21,2
22,1
23,2
23,0
24,0
24,2
24,0
26,1
27,1
28,1
28,2
29,2
29,0
30,0
30,0
30,0
32,0
32,2
33,1
33,0
33,0
34,1
34,1
35,1
36,0
36,1
36,1
37,0
39,1
39,2
40,1
41,0
41,1
41,0
43,2
43,2
43,2
43,0
44,2
45,0
47,0
47,0
48,1
51,0
51,1
51,0
52,1
52,0
54,0
55,1
56,1
57,1
57,0
57,2
58,0
59,0
59,1
60,0
60,1
61,0
61,0
61,2
61,2
61,0
61,0
63,0
63,0
63,0
64,1
64,1
65,0
65,0
65,0
66,2
66,1
67,1
69,0
69,0
70,0
70,0
71,0
73,2
73,1
74,0
75,0
75,0
76,1
77,0
77,1
77,0
77,1
78,0
78,2
80,1
80,0
80,0
80,0
80,0
82,0
83,1
84,1
85,1
86,0
87,0
87,0
87,1
89,0
90,0
90,2
90,2
90,0
91,1
91,0
92,0
92,2
94,0
95,0
97,1
98,2
98,1
99,0
111,1
111,2
129,1
129,2
141,1
141,2
154,1
154,2
163,1
163,2
175,1
175,2
187,1
187,2
195,1
195,2
